Month_Year,Price(USD per barrel)
Jan-16,29.78
Feb-16,31.03
Mar-16,37.34
Apr-16,40.75
May-16,45.94
Jun-16,47.69
Jul-16,44.13
Aug-16,44.88
Sep-16,45.04
Oct-16,49.29
Nov-16,45.26
Dec-16,52.62
Jan-17,53.59
Feb-17,54.35
Mar-17,50.9
Apr-17,52.16
May-17,49.89
Jun-17,46.17
Jul-17,47.66
Aug-17,49.94
Sep-17,52.95
Oct-17,54.92
Nov-17,59.93
Dec-17,61.19
Jan-18,66.23
Feb-18,63.46
Mar-18,64.17
Apr-18,68.79
May-18,73.43
Jun-18,71.98
Jul-18,72.67
Aug-18,71.08
Sep-18,75.36
Oct-18,76.73
Nov-18,62.32
Dec-18,53.96
Jan-19,56.58
Feb-19,61.13
Mar-19,63.79
Apr-19,68.58
May-19,66.83
Jun-19,59.76
Jul-19,61.48
Aug-19,57.67
Sep-19,60.04
Oct-19,57.27
Nov-19,60.4
Dec-19,63.35
Jan-20,61.63
Feb-20,53.35
Mar-20,32.2
Apr-20,21.04
May-20,30.38
Jun-20,39.46
Jul-20,42.07
Aug-20,43.44
Sep-20,40.6
Oct-20,39.9
Nov-20,42.3
Dec-20,48.73
Jan-21,53.6
Feb-21,60.46
Mar-21,63.83
Apr-21,62.95
May-21,66.4
Jun-21,71.8
Jul-21,73.28
Aug-21,68.87
Sep-21,72.8
Oct-21,82.06
Nov-21,79.92
Dec-21,72.87
Jan-22,83.92
Feb-22,93.54
Mar-22,112.4
Apr-22,103.41
May-22,110.1
Jun-22,116.8
Jul-22,105.08
Aug-22,95.97
Sep-22,88.22
Oct-22,90.33
Nov-22,87.38
Dec-22,78.07
Jan-23,80.41
Feb-23,80.25
Mar-23,76.47
Apr-23,82.46
May-23,74.12
Jun-23,73.26
Jul-23,78.98
Aug-23,84.72
Sep-23,92.22
Oct-23,89.08
Nov-23,81.35
Dec-23,75.72
Jan-24,77.67
Feb-24,80.55
Mar-24,83.55
Apr-24,88.01
May-24,81.45
Jun-24,81.21
Jul-24,83.26
Aug-24,78.12
Sep-24,72.42
Oct-24,73.97
Nov-24,72.29
Dec-24,72.31
Jan-25,78.16
Feb-25,73.82
Mar-25,70.7
Apr-25,65.91
May-25,62.75
Jun-25,69.15
