Exporter Country,Trade Value (USD)
Saudi Arabia,7238033880
United Arab Emirates,2283388742
Brazil,830215857
Angola,738401967
United States,616728022
Sudan,467610644
Kuwait,392456908
Australia,387567730
Gabon,352524108
Oman,233112703
Colombia,230233890
Cameroon,190353226
Thailand,183294416
Qatar,169310233
Brunei,146812548
Chad,87230419
Republic of the Congo,84827017
Ghana,76109312
China,72915815
Argentina,70392853
Libya,56365066
Mozambique,38190353
Nigeria,37583167
Azerbaijan,34012688
Kazakhstan,31843051
Indonesia,15877221
Singapore,13250242
Norway,6237329
